keyword,title,price,rating,reviews,platform,delivery
Smart Phone,Vivo Y31 5G Mobile Phone,27999.0,4.6,89,Croma,Free Delivery
Smart Phone,OnePlus N6 5G Smartphone,26999.0,4.7,144,Amazon,Free Delivery
Smart Phone,Apple iPhone 17 Pro,134900.0,4.6,11000,Apple,Free Delivery
Smart Phone,Samsung Galaxy S25 Ultra 5G,129999.0,4.8,1,Samsung,Free Delivery by Sat
Smart Phone,Google Pixel 7a 5G Smartphone,28499.0,4.8,80,Amazon,Free Delivery
Smart Phone,Redmi 14c 5g,10894.0,4.7,324,Tata Neu,Free Delivery by Sat
Smart Phone,Motorola G06 Power 4GB 64GB Tapestry Mobile Phone,12990.0,4.4,264,Amazon,Free Delivery
Smart Phone,Google Pixel 10 5G,74999.0,5.0,3,Google Store,Free Delivery
Smart Phone,Nothing Phone,31999.0,4.8,234,Cainid.In,Free Delivery
Smart Phone,Tecno POP X 5G Fast Charger,15999.0,4.7,144,Amazon,Free Delivery
Smart Phone,Samsung Galaxy A17 5G Smartphone,18999.0,4.4,11000,Samsung,Free Delivery by Sat
Smart Phone,Realme 16 Pro 5G,42999.0,4.9,767,Croma,Free Delivery
Smart Phone,iQOO Z10 Lite 5G,16999.0,4.8,57,Amazon,Free Delivery
Smart Phone,Redmi 15 5G,18699.0,4.7,144,Zepto,Free next-day Delivery
Smart Phone,Apple iPhone 17 256GB Black,82900.0,4.8,53,Apple,Free Delivery
Smart Phone,LAVA Bold N2 Lite Android Mobile,8999.0,4.7,144,Amazon,Free Delivery
Smart Phone,Redmi Note 15 SE 5G Smartphone,23999.0,4.7,144,Mi.com,Free Delivery
Smart Phone,Nothing Phone Pro 5G,49999.0,4.8,128,Reliance,Free Delivery by Sat
Smart Phone,Oppo Reno14 5G,39900.0,5.0,15,Amazon,Free Delivery
Smart Phone,Samsung Galaxy A06 5G,15499.0,4.8,7400,Samsung,Free Delivery by Sat
Smart Phone,Apple iPhone 16,69900.0,4.5,12000,Apple,Free Delivery
Smart Phone,Realme Narzo 80 Lite Battery,12999.0,4.7,144,Amazon,Free Delivery
Smart Phone,Google Pixel 10a 5G,55999.0,4.6,1300,Google Store,Free Delivery
Smart Phone,Nothing Phone 4b 5G,34999.0,4.7,144,Vijay Sales,Free next-day Delivery
Smart Phone,Google Pixel 9a 5G Smartphone,48650.0,5.0,3,Amazon,Free Delivery
Smart Phone,Vivo Y21 5G Mobile Phone,23999.0,4.9,161,Darling Retail,Free Delivery
Smart Phone,Samsung Galaxy A27 5G Smartphone,31999.0,4.7,1100,Samsung,Free Delivery by Sat
Smart Phone,Motorola G06 Power 64GB Pantone Laurel Oak,13749.0,5.0,2,Amazon,Free Delivery
Smart Phone,Samsung Galaxy M36 5G Smartphone,21999.0,3.6,45,Reliance,Free Delivery by Sat
Smart Phone,Redmi A7 Sky Blue 3GB RAM 64GB Storage,12499.0,4.7,144,Amazon,Free Delivery
Smart Phone,Realme 15x 5G,25999.0,4.0,1,Croma,Free Delivery
Smart Phone,Samsung Galaxy M17e 5G Smartphone,15499.0,4.2,15,Samsung,Free Delivery by Sat
Smart Phone,"PEACE NOVA 16 Pro 4G Smartphone with 6.56-inch Display, Android 14, 4GB RAM, 64GB Storage, 20MP Camera, 5000mAh Battery (Silver)",9999.0,4.7,144,Amazon,Free Delivery
Smart Phone,Nothing Phone Lite 5G,27999.0,4.0,2,Vijay Sales,Free next-day Delivery
Smart Phone,Motorola G57 Power 128GB Advanced Smartphone,20790.0,4.7,144,Amazon,Free Delivery
Smart Phone,Oppo Reno16 5G Mobile Phone,66999.0,4.7,144,Reliance,Free Delivery by Sat
Smart Phone,Redmi 15C 5G Battery,20499.0,4.4,34,Mi.com,Free Delivery
Smart Phone,Realme Narzo 80 Lite 4G Mobile Phone,12999.0,4.7,144,Amazon,Free Delivery
Smart Phone,Samsung Galaxy S25 5G,63000.0,4.7,58000,Digihaat,Free Delivery
Smart Phone,OnePlus 13s 5G,54499.0,4.5,42,Addmecart,Free Delivery
Smart Phone,Oppo Reno16 5G Mobile Phone,72999.0,4.7,144,Reliance,Free Delivery by Sat
Smart Phone,Realme Narzo 100 Lite 5g,19999.0,4.5,2,Amazon,Free Delivery
Smart Phone,Realme 16 Pro 5G,39999.0,4.9,767,Croma,Free Delivery
Smart Phone,Samsung Galaxy A37 5G Smartphone,41949.0,4.8,3500,Mahajan Electronics,Free Delivery
Smart Phone,Acerpure Acerone Liquid Smartphone,8795.0,4.7,144,Amazon,Free Delivery
Smart Phone,Itel Zeno 200 4g,9999.0,4.7,144,Amazon,Free Delivery
Smart Phone,Samsung Galaxy M47 5G Smartphone,33499.0,4.7,144,Samsung,Free Delivery by Sat
Smart Phone,Oppo Reno15 5G,45999.0,4.8,7,Cainid.In,Free Delivery
Smart Phone,Redmi 15C 5G Mobile Phone,20499.0,4.7,144,Mi.com,Free Delivery
Smart Phone,OnePlus Nord 6 5G,46990.0,4.5,19,Nuevo Gadgets,Free Delivery by Wed
Smart Phone,Samsung Galaxy S25 5G,65799.0,4.7,58000,Amazon,Free Delivery
Smart Phone,Nothing Phone Lite 5G,27999.0,4.0,2,Reliance,Free Delivery by Sat
Smart Phone,Samsung Galaxy A54 5G Smartphone,38999.0,5.0,9,Ss Mobile,Free Delivery
Smart Phone,Nothing Phone 3 5G Smarter,49999.0,3.0,1,Amazon,Free Delivery
Smart Phone,Motorola Edge 50 Ultra 5G,34999.0,4.8,368,Motorola India,Free Delivery by Mon
Smart Phone,Realme 15 5G,29999.0,5.0,2,Reliance,Free Delivery by Sat
Smart Phone,Oppo Reno 16c 5G,45988.0,4.7,144,Amazon,Free Delivery
Smart Phone,Apple iPhone 17,82900.0,4.5,8000,Apple,Free Delivery
Smart Phone,OnePlus 15R,66999.0,4.6,322,Amazon,Free Delivery
Smart Phone,iQOO Z11x 5G,27499.0,4.9,75,Fliptwirls,Free Delivery
Smart Phone,Realme P3x 5g,13999.0,4.7,144,Reliance,Free Delivery by Sat
Smart Phone,Redmi 15C 5G Battery,14999.0,4.4,34,Bigbasket.Com,Free 10 min Delivery
Smart Phone,Realme Narzo Power 5G,28199.0,4.7,144,Zepto,Free next-day Delivery
Smart Phone,OnePlus Nord 6 5G,46999.0,4.5,19,Reliance,Free Delivery by Sat
Smart Phone,Nothing Phone 4a 5G,35467.0,4.3,1000,Amazon,Free Delivery
Smart Phone,Samsung Galaxy Z Fold8 5G,199999.0,4.9,13000,Samsung,Free Delivery
Smart Phone,Google Pixel 8,37699.0,4.4,2500,Amazon,Free Delivery
Smart Phone,Nothing Phone Pro 5G,49999.0,4.8,128,Vijay Sales,Free next-day Delivery
Smart Phone,Apple iPhone 17 Pro Max,149900.0,4.5,25000,Reliance,Free Delivery by Sat
Smart Phone,Motorola Edge 60 Pro 256GB Pantone Shadow,33799.0,4.4,85,Amazon,Free Delivery
Smart Phone,Samsung Galaxy Z Fold7 5G,186999.0,4.7,26000,Samsung,Free Delivery by Sat
Smart Phone,Oppo A6x 5G,16499.0,4.7,144,Cayroshop.Com,Free Delivery by Sat
Smart Phone,Samsung Galaxy A36 5G,31390.0,4.7,18000,Amazon,Free Delivery
Smart Phone,Infinix Note 60 Pro,39999.0,4.9,639,Digihaat,Free Delivery
Smart Phone,Samsung Galaxy S24 Ultra 5g Mobile Phone,119999.0,4.7,82000,Reliance,Free Delivery by Sat
Smart Phone,Google Pixel 10 5G,66200.0,5.0,3,Amazon,Free Delivery
Smart Phone,Apple iPhone 16 Plus,89900.0,4.6,5100,Apple,Free Delivery
Smart Phone,AI+ Nova 5G,12499.0,5.0,1,Addmecart,Free Delivery
Smart Phone,Samsung Galaxy S26 Ultra 5G,124999.0,4.8,55000,Amazon,Free Delivery
Smart Phone,OnePlus Nord 6 256GB Quick Silver,46999.0,4.7,144,Reliance,Free Delivery by Sat
Tv,LG Ultra HD 4K Led Smart Webos TV 2026 Edition Nano Detail Enhancer,33990.0,4.3,17,Lg Electronics India,Free Delivery
Tv,TCL V4C Series 32 inches HD Smart QLED Google TV,16490.0,4.9,619,Reliance,Free Delivery by Sat
Tv,Xiaomi 108 cm A Full HD Smart Google LED TV L43MB-AFIN,21999.0,5.0,1,Mi.com,Free Delivery
Tv,Philips 6100 Series 80 cm HD Smart LED Google TV,15999.0,3.9,23,Amazon,Free Delivery
Tv,Samsung Vision AI Smart TV,104990.0,4.7,17,Flipkart,Free Delivery by Wed
Tv,Sony BRAVIA 5 4K Ultra HD Smart Mini LED Google TV,109737.0,4.7,17,Indiamart,Free Delivery
Tv,VW Spectra Series 101 cm Smart QLED Android TV,14590.0,4.7,17,Emi Snapmint,Free Delivery
Tv,Onida 108 cm 4K Smart LED Fire TV,24199.0,4.7,17,Amazon,Free Delivery
Tv,VW OptimaX Series Full HD Smart QLED Android TV,13699.0,4.7,17,Reliance,Free Delivery by Sat
Tv,Xiaomi FX Pro QLED 4K Smart Fire TV,28999.0,4.7,17,Mi.com,Free Delivery
Tv,Acerpure Nitro 189.2 cm 75 Inch Qled Ultra Hd 4k Smart Google TV,53999.0,4.7,17,Flipkart,Free Delivery by Tue
Tv,Hisense 55 Inches 4K Ultra HD Smart QLED TV,54990.0,4.7,17,Amazon,Free Delivery
Tv,Foxsky 80 Cm 32 Inch HD Ready LED TV,7999.0,4.7,17,Foxskyindia.Com,Free Delivery
Tv,Samsung 65 Inches Crystal UHD 4K Smart TV,47990.0,5.0,1,Samsung,Free Delivery by Sat
Tv,"LG 32"" HD Smart LED TV",19790.0,3.0,3,Reliance,Free Delivery by Sat
Tv,AKAI 43 Inch HD Ready Smart Google TV,34790.0,4.7,17,Akai India,Free Delivery
Tv,Lumio Vision 7 2026 4k Ultra HD Smart QLED Google TV,32999.0,4.7,17,Amazon,Free Delivery
Tv,Compaq 109 cm 43 Inch Ultra Hd 4k Led Smart Android TV (2022),11999.0,4.7,17,Flipkart,Free Delivery by Tue
Tv,32 Inch Smart Led TV,6600.0,4.7,17,Cppluscctvonline.Com,Free Delivery
Tv,TCL 4k Ultra Hd Smart QD-Mini Led Google Tv,55990.0,4.8,3000,Reliance,Free Delivery by Sat
Tv,LG Q82 AI Series 4K Ultra Hd Smart Webos Mini Led TV,71999.0,4.5,10,Lg Electronics India,Free Delivery
Tv,Haier H5E Series 4K Ultra HD Smart LED Google TV,30490.0,4.7,17,Amazon,Free Delivery
Tv,Haves 40 Inch FHD Smart Frameless LED TV,12409.0,4.7,17,Haves Technology,Free Delivery
Tv,Samsung Micro RGB R95H 4K Smart TV,229990.0,4.8,915,Samsung,Free Delivery by Sat
Tv,Coocaa S4U Pro HD Smart Coolita TV,8399.0,4.7,17,Reliance,Free Delivery by Sat
Tv,Thomson Alpha Qled Smart Linux TV,9299.0,4.7,17,Flipkart,Free Delivery by Tue
Tv,Toshiba 98 Inches 4K Ultra HD Smart QLED TV,249999.0,4.7,17,Amazon,Free Delivery
Tv,Xiaomi X Series 55 inch 4K Ultra HD Smart TV,37999.0,4.7,17,Mi.com,Free Delivery
Tv,"Samsung Series 5 43"" Full HD Smart TV",12249.0,4.7,17,Tradeindia.Com,Free Delivery
Tv,LG Ur7500 Ultra Hd 4k Led Smart Webos Tv Alpha5 Ai Processor 4k Gen6,29990.0,4.7,798,Reliance,Free Delivery by Sat
Tv,Sony 32-Inch HD Smart TV,28990.0,4.7,17,Amazon,Free Delivery
